I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4,class
3.6930764,3.6930764,3.8331658,3.6724519,0.000004,3.8331658,3.6724519,0.000004,3.8381094,3.8381094,3.8444127,3.8331255,0.0000031,3.8444127,3.8331255,3.8381094,3.8381094,426.5791882,456.458195,393.2775767,496.4376435,496.5791475,496.1609551,167.6008633,674,34,0.1607139,0.1607139,0,0,1
3.4807929,3.4807929,4.0892584,3.403061,0.0003089,4.0892584,3.403061,0.0003089,4.0370039,4.0370039,4.0932054,4.022822,0.0003281,4.0932054,4.022822,4.0370039,4.0370039,426.5186372,457.1973033,394.6202559,521.4116474,523.5114532,511.7604978,185.0832473,709,16,0.6861973,0.6861973,0,0,1
1.7307448,1.7307448,4.125641,1.0985849,0.0003628,4.125641,1.0985849,0.0003628,4.1324426,4.1324426,4.1382851,4.1271343,0.0000032,4.1382851,4.1271343,4.1324426,4.1324426,426.9815156,457.3238783,394.4023921,506.9136386,507.1465821,506.6099078,183.171304,726,27,3.0270561,3.0270561,0,0,1
1.4828083,1.4828083,1.7462245,1.4585624,0.0001408,1.7462245,1.4585624,0.0001408,1.7207245,1.7207245,1.7489674,1.7098765,0.0001501,1.7489674,1.7098765,1.7207245,1.7207245,426.5186545,457.1973209,394.6202733,511.2452102,515.6252841,498.2499449,77.3659352,301,16,0.2876622,0.2876622,0,0,1
2.1473057,2.1473057,2.3318604,2.1155116,0.000004,2.3318604,2.1155116,0.000004,2.3346357,2.3346357,2.3385075,2.3309754,0.0000024,2.3385075,2.3309754,2.3346357,2.3346357,426.8418995,456.9340717,393.9212547,496.4400573,496.8896216,495.9633129,101.9085865,410,31,0.2163488,0.2163488,0,0,1
0.3459258,0.3459258,0.6003708,0.290773,0.0000041,0.6003708,0.290773,0.0000041,0.6035653,0.6035653,0.6047362,0.6028372,0.0000002,0.6047362,0.6028372,0.6035653,0.6035653,426.9815392,457.3239021,394.402415,482.2467963,483.3335568,481.51998,25.492978,106,27,0.3095978,0.3095978,0,0,1
-99.256851,-99.256851,5.2720092,-106.1995985,2.789173,5.2720092,-106.1995985,2.789173,5.3541891,5.3541891,5.3859072,5.2746008,0.0007843,5.3859072,5.2746008,5.3541891,5.3541891,480.6916501,481.7369374,478.7112569,505.666534,514.8458041,501.3706853,187.4040911,925,20,111.4716078,111.4716078,0,0,1
2.407261,2.407261,2.7692088,2.3610505,0.000072,2.7692088,2.3610505,0.000072,2.7451219,2.7451219,2.7725254,2.7374161,0.0000733,2.7725254,2.7374161,2.7451219,2.7451219,426.8767253,457.3892127,394.6612224,510.5790179,512.0359152,503.4252421,123.2402941,482,22,0.4081583,0.4081583,0,0,1
2.0332735,2.0332735,2.2179041,2.0011188,0.0000031,2.2179041,2.0011188,0.0000031,2.2206207,2.2206207,2.2232056,2.2172853,0.0000014,2.2232056,2.2172853,2.2206207,2.2206207,426.8926341,457.0696291,394.0198048,497.3466934,497.6615195,496.2576681,97.106123,390,30,0.2167854,0.2167854,0,0,1
-0.1686943,-0.1686943,0.7519642,-0.3742913,0.0000596,0.7519642,-0.3742913,0.0000596,0.7521126,0.7521126,0.7546377,0.7508385,0.0000008,0.7546377,0.7508385,0.7521126,0.7521126,426.8767124,457.3891997,394.6612096,493.1544545,493.860321,490.9382152,32.2104367,132,22,1.1262555,1.1262555,0,0,1
1.9420217,1.9420217,2.9931581,1.6854896,0.0000684,2.9931581,1.6854896,0.0000684,2.9944834,2.9944834,2.9984167,2.9906174,0.0000021,2.9984167,2.9906174,2.9944834,2.9944834,426.9688837,457.2664756,394.316658,503.3341368,503.6020724,502.3870667,132.1328921,526,28,1.3076685,1.3076685,0,0,1
2.8293702,2.8293702,3.7279841,2.6625543,0.0002763,3.7279841,2.6625543,0.0002763,3.684612,3.684612,3.7318114,3.6707503,0.0002317,3.7318114,3.6707503,3.684612,3.684612,426.6691861,457.2803793,394.6780575,518.1919317,520.2971359,509.7204664,167.7083366,647,18,1.0654297,1.0654297,0,0,1
2.8293702,2.8293702,3.7279841,2.6625543,0.0002763,3.7279841,2.6625543,0.0002763,3.684612,3.684612,3.7318114,3.6707503,0.0002317,3.7318114,3.6707503,3.684612,3.684612,426.6691861,457.2803793,394.6780575,518.1919317,520.2971359,509.7204664,167.7083366,318,29,1.0654297,1.0654297,0,0,1
3.6234785,3.6234785,4.5439801,3.4624668,0.0004062,4.5439801,3.4624668,0.0004062,4.4913926,4.4913926,4.5482587,4.4755562,0.0003874,4.5482587,4.4755562,4.4913926,4.4913926,428.3349715,457.1972986,409.5675567,521.9062649,523.9231043,513.3239658,205.9769658,789,16,1.0815133,1.0815133,0,0,1
0.7586938,0.7586938,1.050026,0.7116773,0.0000412,1.050026,0.7116773,0.0000412,1.0384617,1.0384617,1.0526852,1.0334729,0.0000326,1.0526852,1.0334729,1.0384617,1.0384617,426.5880471,457.2402581,394.6549348,504.3464647,507.3312354,494.3699406,45.9884846,182,17,0.3383487,0.3383487,0,0,1
3.0120085,3.0120085,3.3669652,2.9438188,0.0000137,3.3669652,2.9438188,0.0000137,3.3691296,3.3691296,3.3753517,3.3616729,0.0000076,3.3753517,3.3616729,3.3691296,3.3691296,426.9815315,457.3238943,394.4024075,505.8421704,506.3397239,505.1407469,149.801862,592,27,0.4231464,0.4231464,0,0,1
3.6698049,3.6698049,3.8818859,3.6360695,0.0000061,3.8818859,3.6360695,0.0000061,3.8853185,3.8853185,3.8911904,3.8802538,0.0000039,3.8911904,3.8802538,3.8853185,3.8853185,426.9759688,457.3411497,394.4202917,508.314803,508.5912544,507.4280177,173.6996028,683,26,0.2458164,0.2458164,0,0,1
4.6651143,4.6651143,5.4034332,4.506539,0.0000389,5.4034332,4.506539,0.0000389,5.4069044,5.4069044,5.4175144,5.3978688,0.0000098,5.4175144,5.3978688,5.4069044,5.4069044,493.9195767,495.4115656,491.1755023,509.3759204,509.7229371,508.9005272,241.9926086,951,26,0.8968942,0.8968942,0,0,1
